d13c,d15n,whaleid,numid,replicate,lpos
-18,12.19,bp04,245,8,20
-17.91,12.21,bp04,246,,21
-17.74,12.03,bp04,247,,22
-17.31,11.82,bp04,248,,23
-17.13,11.4,bp04,249,,24
-17.06,11.22,bp04,250,,25
-17.39,11.18,bp04,251,,26
-17.82,11.3,bp04,252,,27
-18.01,11.94,bp04,253,,28
-18.3,12.38,bp04,254,,29
-18.37,12.68,bp04,255,,30
-18.58,12.95,bp04,256,,31
-18.49,13.27,bp04,257,,32
-18.8,12.51,bp04,258,,33
-18.79,12.13,bp04,259,,34
-18.84,11.9,bp04,260,,35
-18.78,11.83,bp04,261,,36
-18.78,11.55,bp04,262,,37
-18.74,11.15,bp04,263,,38
-18.61,11.16,bp04,264,,39
-18.57,11.36,bp04,265,,40
-18.45,11.29,bp04,266,,41
-18.56,11.44,bp04,267,,42
-18.6,11.72,bp04,268,,43
-18.47,12.18,bp04,269,,44
-18.41,12.66,bp04,270,,45
-18.32,12.61,bp04,271,,46
-18.36,12.43,bp04,272,9,47
-18.26,12.1,bp04,272,9,47
-17.61,9.46,bp07,348,,1
-17.62,8.74,bp07,349,,2
-17.7,8.99,bp07,350,,3
-17.54,9.35,bp07,351,,4
-17.42,9.57,bp07,352,,5
-17.45,9.2,bp07,353,,6
-17.04,9.43,bp07,354,10,7
-16.99,9.62,bp07,354,10,7
-16.89,9.74,bp07,355,,8
-16.64,9.99,bp07,356,,9
-16.57,9.78,bp07,357,,10
-16.63,9.87,bp07,358,,11
-16.51,10,bp07,359,,12
-16.67,9.85,bp07,360,,13
-16.42,10.02,bp07,361,,14
-16.63,9.69,bp07,362,,15
-16.72,9.8,bp07,363,,16
-16.7,9.57,bp07,364,,17
-16.62,9.77,bp07,365,,18
-16.66,9.89,bp07,366,,19
-16.6,9.74,bp07,367,,20
-16.84,9.76,bp07,368,,21
-16.6,9.6,bp07,369,,22
-16.8,9.57,bp07,370,,23
-16.72,9.56,bp07,371,,24
-16.77,9.6,bp07,372,,25
-16.82,9.24,bp07,373,,26
-16.75,9.36,bp07,374,,27
-16.79,8.67,bp07,375,,28
-16.98,8.41,bp07,376,,29
-17.09,8.29,bp07,377,,30
-17.19,8.48,bp07,378,,31
-17.3,8.91,bp07,379,,32
-17.5,9.01,bp07,380,,33
-17.73,9.05,bp07,381,,34
-18.26,9.07,bp07,382,,35
-18.5,9.41,bp07,383,,36
-18.73,9.8,bp07,384,,37
-18.69,9.67,bp07,385,,38
-18.38,10.19,bp07,386,11,39
-18.45,10.21,bp07,386,11,39
-18.39,10.24,bp07,387,,40
-18.24,10.16,bp07,388,,41
-18.07,10.08,bp07,389,,42
-18.09,10.09,bp07,390,,43
-19.3,13.77,bp05,284,12,1
-19.16,13.58,bp05,284,12,1
-19.52,13.67,bp05,285,,2
-19.34,13.49,bp05,286,,3
-19.39,13.8,bp05,287,,4
-19.02,13.96,bp05,288,,5
-18.74,14.1,bp05,289,,6
-18.4,14.19,bp05,290,,7
-18.26,14.53,bp05,291,,8
-18,14.54,bp05,292,,9
-18.27,15.39,bp05,293,,10
-18.23,15.73,bp05,294,,11
-18.13,16.01,bp05,295,13,12
-18.09,16.03,bp05,295,13,12
-18.02,16.3,bp05,296,,13
-17.93,16.02,bp05,297,,14
-17.95,15.61,bp05,298,,15
-18.13,14.88,bp05,299,,16
-17.71,14.36,bp05,300,,17
-17.66,13.57,bp05,301,,18
-17.53,13.15,bp05,302,,19
-17.24,12.64,bp05,303,,20
-17.12,12.89,bp05,304,,21
-17.66,12.42,bp05,305,,22
-17.31,11.66,bp05,306,,23
-17.49,11.72,bp05,307,,24
-17.38,11.32,bp05,308,,25
-17.13,11.48,bp05,309,,26
-17.46,10.69,bp05,310,14,27
-17.22,10.69,bp05,310,14,27
-18.15,10.74,bp05,311,,28
-17.66,11.52,bp06,318,,1
-17.61,11.49,bp06,319,,2
-17.53,10.59,bp06,320,15,3
-17.63,10.62,bp06,320,15,3
-17.48,9.6,bp06,321,,4
-17.55,9.92,bp06,322,,5
-17.26,10.45,bp06,323,,6
-17.19,10.99,bp06,324,,7
-17.37,11.42,bp06,325,,8
-17.21,11.33,bp06,326,,9
-17.3,11,bp06,327,,10
-17.38,11.07,bp06,328,,11
-17.42,11.42,bp06,329,,12
-17.49,11.94,bp06,330,,13
-17.65,12.33,bp06,331,16,14
-17.72,12.35,bp06,331,16,14
-17.59,12.26,bp06,332,,15
-17.72,12.1,bp06,333,,16
-17.7,11.49,bp06,334,,17
-17.63,11.37,bp06,335,,18
-17.51,11.49,bp06,336,,19
-17.54,11.17,bp06,337,,20
-17.63,11.33,bp06,338,,21
-17.74,11.48,bp06,339,,22
-17.56,11.11,bp06,340,,23
-17.33,10.49,bp06,341,17,24
-17.22,10.17,bp06,341,17,24
-17.06,12.72,bp15,924,,2
-17.3,12.54,bp15,925,,3
-17.31,12.97,bp15,926,18,4
-17.28,13.18,bp15,926,18,4
-17.17,12.83,bp15,927,,5
-17.2,13.34,bp15,928,,6
-17.19,13.59,bp15,929,,7
-17.29,13.6,bp15,930,,8
-17.59,13.7,bp15,931,,9
-17.38,13.72,bp15,932,,10
-17.65,13.74,bp15,933,,11
-17.78,13.2,bp15,934,,12
-17.2,13.06,bp15,935,,13
-16.5,12.41,bp15,936,,14
-16.45,12.41,bp15,937,,15
-16.83,13.25,bp15,938,,16
-16.98,13.1,bp15,939,19,17
-16.89,13.23,bp15,939,19,17
-17.14,13.52,bp15,940,,18
-17.17,14.05,bp15,941,,19
-17.24,14,bp15,942,,20
-17.27,14.12,bp15,943,,21
-17.29,14.18,bp15,944,,22
-17.35,14.02,bp15,945,,23
-17.48,13.69,bp15,946,,24
-17.52,13.82,bp15,947,20,25
-17.45,13.88,bp15,947,20,25
-20.53,11.21,eg01,1276,,2
-20.43,11.06,eg01,1277,,5
-20.43,10.86,eg01,1278,,10
-20.49,9.2,eg01,1279,21,15
-20.6,9.12,eg01,1279,21,15
-21.45,8.8,eg01,1280,,20
-21.65,9.57,eg01,1281,,25
-20.37,10.27,eg01,1282,,30
-19.43,11.43,eg01,1283,,35
-20.33,10.47,eg01,1284,,40
-20.44,10.38,eg01,1285,,45
-20.36,9,eg01,1286,,50
-19.59,10.31,eg01,1287,,55
-19.36,10.36,eg01,1288,,60
-19.4,8.27,eg01,1289,,65
-19.96,8.58,eg01,1290,,70
-19.37,9.45,eg01,1291,,75
-18.62,10.5,eg01,1292,,80
-18.93,9.56,eg01,1293,,85
-20.07,6.85,eg01,1294,,90
-19.53,8.45,eg01,1295,,95
-18.67,10.73,eg01,1296,,100
-18.41,11.16,eg01,1297,,105
-18.93,10.13,eg01,1298,,110
-19.35,7.9,eg01,1299,22,115
-19.25,8.05,eg01,1299,22,115
-20.04,8.48,eg01,1300,,120
-19.12,10.08,eg01,1301,,125
-19.75,10.25,eg01,1302,,130
-19.45,9.43,eg01,1303,,135
-19.5,6.58,eg01,1304,,140
-19.2,9.02,eg01,1305,,145
-19.71,10.29,eg01,1306,,150
-19.67,10.57,eg01,1307,,155
-19.81,10.24,eg01,1308,,160
-20.2,9.68,eg01,1309,,165
-19.82,9.82,eg01,1310,23,170
-19.74,9.65,eg01,1310,23,170
-19.82,10.12,eg01,1311,,175
-18.21,13.64,bp19,1391,,0
-18.13,13.76,bp19,1392,24,1
-18.14,13.9,bp19,1392,24,1
-18.05,13.76,bp19,1393,,2
-18.12,13.9,bp19,1394,,3
-18.16,13.97,bp19,1395,,4
-18.16,13.95,bp19,1396,,5
-18.1,13.86,bp19,1397,,6
-18.11,13.47,bp19,1398,,7
-18.25,12.82,bp19,1399,,8
-18.4,12.5,bp19,1400,,9
-18.48,12.23,bp19,1401,,10
-18.22,12.67,bp19,1402,,11
-18.05,12.87,bp19,1403,,12
-17.92,13.06,bp19,1404,25,13
-17.99,13.07,bp19,1404,25,13
-17.87,13.28,bp19,1405,,14
-17.86,13.31,bp19,1406,,15
-17.79,13.55,bp19,1407,,16
-17.81,13.62,bp19,1408,,17
-17.75,13.72,bp19,1409,,18
-17.54,13.68,bp19,1410,,19
-17.49,13.71,bp19,1411,,20
-17.51,13.44,bp19,1412,,21
-17.57,13.14,bp19,1413,,22
-17.58,13.57,bp19,1414,,23
-17.62,13.84,bp19,1415,,24
-17.75,14.14,bp19,1416,,25
-17.95,14.11,bp19,1417,,26
-17.96,13.99,bp19,1418,,27
-17.84,13.91,bp19,1419,,28
-17.61,13.78,bp19,1420,,29
-17.53,13.52,bp19,1421,26,30
-17.52,13.49,bp19,1421,26,30
-17.23,9.29,bp17,1433,,1
-17.13,9.21,bp17,1434,,2
-17.19,9.4,bp17,1435,,3
-17.17,9.69,bp17,1436,27,4
-17.12,9.78,bp17,1436,27,4
-17.2,10.57,bp17,1437,,5
-17.38,11.94,bp17,1438,,6
-17.46,12.87,bp17,1439,,7
-17.46,13.13,bp17,1440,,8
-17.64,13.66,bp17,1441,,9
-17.59,13.62,bp17,1442,,10
-17.53,13.32,bp17,1443,,11
-17.56,13.15,bp17,1444,,12
-17.52,12.91,bp17,1445,,13
-17.54,12.76,bp17,1446,,14
-17.45,12.67,bp17,1447,,15
-17.4,12.55,bp17,1448,,16
-17.27,12.31,bp17,1449,,17
-17.16,11.71,bp17,1450,,18
-17.06,11.14,bp17,1451,,19
-17.07,10.29,bp17,1452,,20
-17.15,9.9,bp17,1453,,21
-17.27,9.94,bp17,1454,,22
-17.42,10.38,bp17,1455,,23
-17.45,10.71,bp17,1456,,24
-17.69,11.32,bp17,1457,28,25
-17.63,11.31,bp17,1457,28,25
-17.62,11.8,bp17,1458,,26
-17.61,11.94,bp17,1459,,27
-17.75,12.45,bp17,1460,,28
-17.78,12.78,bp17,1461,,29
-17.93,13.02,bp17,1462,,30
-18,13.38,bp17,1463,,31
-17.9,13.4,bp17,1464,,32
-17.83,13.36,bp17,1465,,33
-17.93,13.17,bp17,1466,,34
-17.83,12.74,bp17,1467,,35
-17.86,12.49,bp17,1468,,36
-17.83,12.39,bp17,1469,,37
-17.86,12.19,bp17,1470,,38
-17.84,12.05,bp17,1471,,39
-17.82,12,bp17,1472,,40
-17.97,11.89,bp17,1473,,41
-18.26,11.75,bp17,1474,,42
-18.31,11.7,bp17,1475,,43
-18.35,11.73,bp17,1476,,44
-18.21,11.83,bp17,1477,29,45
-18.17,11.76,bp17,1477,29,45
-18.22,11.79,bp17,1478,,46
-18.06,11.89,bp17,1479,,47
-16.72,12.97,bp14,883,4,3
-16.63,12.98,bp14,883,4,3
-16.76,12.95,bp14,883,4,3
-18,11.29,bp18,1358,,1
-17.79,11.33,bp18,1359,,2
-17.7,10.78,bp18,1360,30,3
-17.7,10.83,bp18,1360,30,3
-17.76,10.61,bp18,1361,,4
-17.68,10.5,bp18,1362,,5
-17.72,10.52,bp18,1363,,6
-17.59,10.7,bp18,1364,,7
-17.59,10.62,bp18,1365,,8
-17.56,10.45,bp18,1366,,9
-17.62,10.42,bp18,1367,,10
-17.69,10.19,bp18,1368,,11
-17.81,10.06,bp18,1369,31,12
-17.79,9.86,bp18,1369,31,12
-17.84,9.73,bp18,1370,,13
-17.84,9.71,bp18,1371,,14
-17.8,9.84,bp18,1372,,15
-17.83,10.04,bp18,1373,,16
-17.73,10.33,bp18,1374,,17
-17.73,10.49,bp18,1375,,18
-17.7,10.59,bp18,1376,,19
-17.76,10.56,bp18,1377,,20
-17.94,10.14,bp18,1378,,21
-17.93,10.01,bp18,1379,,22
-17.96,10.08,bp18,1380,,23
-17.91,10.27,bp18,1381,,24
-17.87,10.27,bp18,1382,32,25
-17.73,10.31,bp18,1382,32,25
-18.71,13.1,bp08,401,33,2
-18.79,13.04,bp08,401,33,2
-18.74,13.21,bp08,402,,3
-18.73,13.24,bp08,403,,4
-18.88,12.77,bp08,404,,5
-18.59,12.83,bp08,405,,6
-19.27,12.91,bp08,406,,7
-19.06,12.94,bp08,407,,8
-18.93,12.82,bp08,408,,9
-18.88,12.8,bp08,409,,10
-18.81,13.14,bp08,410,42,11
-18.8,13.05,bp08,411,42,11
-18.45,13.18,bp08,412,,12
-18.22,12.78,bp08,413,43,13
-18.12,12.73,bp08,414,43,13
-17.93,12.68,bp08,415,,14
-17.68,12.67,bp08,416,,15
-17.37,12.51,bp08,417,,16
-17.36,12.52,bp08,418,,17
-17.33,12.48,bp08,419,,18
-17.4,12.4,bp08,420,,19
-17.44,12.5,bp08,421,,20
-17.47,12.43,bp08,422,,21
-17.66,12.53,bp08,423,,22
-17.75,12.58,bp08,424,,23
-17.95,12.37,bp08,425,,24
-18.16,12.29,bp08,426,34,25
-18.09,12.36,bp08,426,34,25
-18.2,12.27,bp08,427,,26
-18.31,12.3,bp08,428,,27
-18.27,12.41,bp08,429,,28
-18.07,12.69,bp08,430,,29
-17.76,13.1,bp08,431,,30
-17.26,13.74,bp08,432,,31
-17.1,14.1,bp08,433,,32
-16.86,13.95,bp08,434,,33
-16.66,13.58,bp08,435,,34
-16.75,13.22,bp08,436,,35
-16.77,13,bp08,437,,36
-16.85,13.58,bp08,438,,37
-16.88,13.91,bp08,439,,38
-16.86,14.04,bp08,440,,39
-16.86,14.16,bp08,441,,40
-16.92,14.14,bp08,442,,41
-16.96,14.06,bp08,443,,42
-17.16,13.96,bp08,444,,43
-17.36,14.31,bp08,445,,44
-17.28,13.98,bp08,446,,45
-17.2,14.11,bp08,447,,46
-17.27,14.21,bp08,448,,47
-17.08,14.02,bp08,449,,48
-16.7,14.1,bp08,450,35,49
-16.71,14.14,bp08,450,35,49
-18.46,11.24,be01,1549,,0
-18.2,10.98,be01,1550,,1
-18.25,10.52,be01,1551,,2
-18.14,10.26,be01,1552,,3
-18.03,10.14,be01,1553,,4
-17.38,10.64,be01,1554,,5
-17.61,10.33,be01,1555,,6
-17.53,10.31,be01,1556,36,7
-17.53,10.28,be01,1556,36,7
-17.36,10.17,be01,1557,,8
-17.48,9.87,be01,1558,,9
-17.42,9.52,be01,1559,,10
-17.52,9.49,be01,1560,,11
-17.45,9.46,be01,1561,,12
-17.47,9.4,be01,1562,,13
-17.52,9.66,be01,1563,,14
-17.6,9.76,be01,1564,,15
-17.68,9.8,be01,1565,,16
-17.68,9.82,be01,1566,37,17
-17.76,9.77,be01,1566,37,17
-17.88,9.7,be01,1567,,18
-17.8,9.77,be01,1568,,19
-17.61,10.36,be01,1569,,20
-17.32,10.73,be01,1570,,21
-17.2,10.84,be01,1571,,22
-16.99,10.91,be01,1572,,23
-16.94,10.93,be01,1573,,24
-16.83,10.98,be01,1574,,25
-16.71,11.1,be01,1575,,26
-16.64,11.18,be01,1576,,27
-16.64,11.05,be01,1577,,28
-16.58,11.08,be01,1578,,29
-16.49,10.95,be01,1579,,30
-16.48,10.91,be01,1580,38,31
-16.51,10.93,be01,1580,38,31
-16.49,10.83,be01,1581,,32
-16.65,10.77,be01,1582,,33
-16.75,10.84,be01,1583,,34
-19.07,15.99,mn01,1598,,1
-18.87,16.05,mn01,1599,,2
-18.81,16.09,mn01,1600,,3
-18.73,16.05,mn01,1601,,4
-18.7,16,mn01,1602,39,5
-18.68,15.99,mn01,1602,39,5
-18.73,15.96,mn01,1603,,6
-18.78,15.86,mn01,1604,,7
-18.92,15.83,mn01,1605,,8
-18.99,15.79,mn01,1606,,9
-19.05,15.73,mn01,1607,,10
-19.13,15.26,mn01,1608,,11
-19.08,15.13,mn01,1609,40,12
-19.12,15.14,mn01,1609,40,12
-19.08,15.02,mn01,1610,,13
-19,14.72,mn01,1611,,14
-19.04,14.94,mn01,1612,,15
-19.04,14.78,mn01,1613,,16
-18.93,14.69,mn01,1614,,17
-18.86,14.6,mn01,1615,,18
-18.86,14.53,mn01,1616,,19
-18.84,14.65,mn01,1617,,20
-18.88,14.81,mn01,1618,,21
-18.95,14.9,mn01,1619,,22
-18.96,14.85,mn01,1620,,23
-18.93,14.86,mn01,1621,,24
-18.99,14.88,mn01,1622,41,25
-18.99,14.83,mn01,1622,41,25
-19.02,14.81,mn01,1623,,26
-19.03,14.88,mn01,1624,,27
-19.04,14.84,mn01,1625,,28
